version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V3,3044274,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3044276,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3050553,DIRECTION_OR_ACTION_CHANGED,"team,side,water",不投,不投,隆美辛尼（反向=下盘）,多洛米蒂贝卢诺（反向=上盘）,lower,upper,平手/半球,平手/半球,0.79,0.77,,,,,team;side;water
V3,3050559,DIRECTION_OR_ACTION_CHANGED,"action,water",可投,不投,特伦托（反向=上盘）,特伦托（反向=上盘）,upper,upper,半球,半球,0.78,0.74,,,,,action;water
V3,3050560,UNCHANGED,,不投,不投,加尔维纳（反向=下盘）,加尔维纳（反向=下盘）,lower,lower,半球,半球,0.74,0.74,,,,,UNCHANGED
V3,3050936,WATER_CHANGED,water,不投,不投,利沃诺（反向=下盘）,利沃诺（反向=下盘）,lower,lower,平手/半球,平手/半球,0.74,0.79,,,,,water
V3,3050937,UNCHANGED,,不投,不投,萨比尼迪特斯（反向=下盘）,萨比尼迪特斯（反向=下盘）,lower,lower,平手/半球,平手/半球,0.79,0.79,,,,,UNCHANGED
V3,3050939,DIRECTION_OR_ACTION_CHANGED,"action,water",不投,可投,斯佩齐亚（反向=上盘）,斯佩齐亚（反向=上盘）,upper,upper,球半/两球,球半/两球,0.72,0.78,,,,,action;water
V3,3061652,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,瓜比拉（反向=上盘）,,upper,,半球,0,0.78,,,,,team;side;line;water
V3,3061653,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,石油独立（上盘）,,upper,,半球/一球,0,0.96,,,,,team;side;line;water
V3,3064934,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3064945,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,3088004,DIRECTION_OR_ACTION_CHANGED,"side,line",不投,不投,无，不投,无，不投,,lower,,5球,0,0,,,,,side;line
V3,3088005,LINE_CHANGED,line,不投,不投,无，不投,无，不投,lower,lower,平手,平手/半球,0,0,,,,,line
V3,3088010,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,一球,一球,0,0,,,,,UNCHANGED
V3,3088011,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,球半,球半,0,0,,,,,UNCHANGED
V3,3088016,UNCHANGED,,不投,不投,无，不投,无，不投,lower,lower,球半/两球,球半/两球,0,0,,,,,UNCHANGED
