日期,国家,层级,赛事,比赛,比分,状态,盘口档位,候选标签,赛事级样本,赛事级正向胜率,赛事级反向胜率,赛事级胜率高方,盘口标签样本,盘口标签正向胜率,盘口标签反向胜率,盘口标签胜率高方,HTML最终方向,HTML正期望方球队,HTML选中胜率,HTML选中水位,水位阈值,HTML是否可投,HTML原因
2026-08-29,德国,次级,德乙,卡尔斯鲁厄 vs 沃尔夫斯堡,2-5,已结算,平手/半球,降温保护/诱下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次级,德乙,海登海姆 vs 德累斯顿,5-3,已结算,平手/半球,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次级,德乙,科特布斯 vs 菲尔特,3-4,已结算,平手,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,德比郡 vs 斯旺西,0-3,已结算,平手/半球,平衡盘/等待临场确认,6,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,狼队 vs 斯托克城,4-1,已结算,一球,降温保护/诱下,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,米德尔斯堡 vs 西布罗姆维奇,3-1,已结算,半球/一球,平衡盘/等待临场确认,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,布莱克浦 vs 彼得堡联,4-0,已结算,半球/一球,诱下/上盘降温,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,米尔顿凯恩斯 vs 莱斯特城,0-0,已结算,平手,降温保护/诱下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,顶级,英超,利物浦 vs 诺丁汉森林,2-2,已结算,一球/球半,阻上/降温保护,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次次级,德丙,SC维尔 vs 幸运科隆,1-2,已结算,半球,真实示弱/阻下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次次级,德丙,亚琛 vs 梅彭,0-3,已结算,一球/球半,阻上/诱下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次次级,德丙,杜伊斯堡 vs 维尔茨堡踢球者,3-0,已结算,一球,降温保护/诱下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次次级,德丙,格罗巴斯帕奇 vs 因戈尔施塔特,0-2,已结算,平手,诱上/阻下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次次级,德丙,韦恩 vs 埃森,0-0,已结算,平手/半球,诱下/上盘降温,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次级,法乙,红星 vs 兰斯,1-4,已结算,平手/半球,阻上/诱下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次级,法乙,阿纳西 vs 梅斯,1-1,已结算,平手,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,亚眠 vs 维尔赛斯,3-0,已结算,平手,诱上/阻下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,克维伊 vs 弗勒里梅洛吉斯,2-1,已结算,平手,诱上/阻下,2,样本不足<8,样本不足<8,不投,1,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,奥兰斯 vs 永河畔拉罗什,0-1,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,戛纳 vs 奥维涅,2-0,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,欧巴涅 vs 普瑞兰斯,2-0,已结算,平手/半球,阻上/降温保护,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,瓦朗谢纳 vs 孔卡诺,0-0,已结算,平手/半球,阻上/降温保护,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,维利法兰 vs 鲁昂,0-2,已结算,平手/半球,平衡盘/等待临场确认,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次次级,法丙,蒂翁维尔 vs 巴黎13区竞技,1-1,已结算,半球,阻上/降温保护,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,顶级,德甲,RB莱比锡 vs 门兴格拉德巴赫,3-0,已结算,一球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,顶级,德甲,埃弗斯堡 vs 勒沃库森,3-2,已结算,一球,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,顶级,德甲,柏林联合 vs 法兰克福,3-3,已结算,平手,降温保护/诱下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,顶级,德甲,科隆 vs 霍芬海姆,3-2,已结算,平手/半球,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,顶级,德甲,美因茨 vs 帕德博恩,0-0,已结算,一球,真实示强/阻上,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,南安普敦 vs 米尔沃尔,5-1,已结算,半球,阻上/降温保护,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,博尔顿 vs 林肯城,0-1,已结算,平手,降温保护/诱下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
