分组类型,分组,样本,正向红,正向红半,正向走水,正向黑半,正向黑,正向有效胜率,正向均注盈亏Unit,反向红,反向红半,反向走水,反向黑半,反向黑,反向有效胜率,反向均注盈亏Unit,读法
按赛事,中超,3,1,0,0,1,1,40.0%,-0.460,1,1,0,0,1,60.0%,+0.260,小样本观察
按赛事,巴西乙,3,1,1,0,0,1,60.0%,+0.660,1,0,0,1,1,40.0%,-0.660,小样本观察
按赛事,挪乙,3,2,0,0,0,1,66.7%,+0.920,1,0,0,0,2,33.3%,-1.160,小样本观察
按赛事,沙特联,3,2,1,0,0,0,100.0%,+2.575,0,0,0,1,2,0.0%,-2.500,小样本观察
按赛事,瑞典甲,3,1,0,1,0,1,50.0%,-0.140,1,0,1,0,1,50.0%,-0.100,小样本观察
按赛事,英甲,3,1,0,0,0,2,33.3%,-0.950,2,0,0,0,1,66.7%,+0.730,小样本观察
按赛事,西甲,3,2,0,0,0,1,66.7%,+1.120,1,0,0,0,2,33.3%,-1.200,小样本观察
按赛事,韩K2联,3,1,0,1,1,0,66.7%,+0.500,0,1,1,0,1,33.3%,-0.510,小样本观察
按赛事,丹麦甲,2,1,1,0,0,0,100.0%,+1.525,0,0,0,1,1,0.0%,-1.500,小样本观察
按赛事,乌克超,2,0,1,0,0,1,33.3%,-0.485,1,0,0,1,0,66.7%,+0.360,小样本观察
按赛事,克亚甲,2,0,0,0,0,2,0.0%,-2.000,2,0,0,0,0,100.0%,+1.730,小样本观察
按赛事,卡塔尔联,2,1,0,1,0,0,100.0%,+0.900,0,0,1,0,1,0.0%,-1.000,小样本观察
按赛事,哈萨克超,2,2,0,0,0,0,100.0%,+2.090,0,0,0,0,2,0.0%,-2.000,小样本观察
按赛事,哥伦乙秋,2,0,0,0,0,2,0.0%,-2.000,2,0,0,0,0,100.0%,+1.850,小样本观察
按赛事,哥伦甲秋,2,0,0,0,0,2,0.0%,-2.000,2,0,0,0,0,100.0%,+1.840,小样本观察
按赛事,土甲,2,1,0,0,0,1,50.0%,-0.210,1,0,0,0,1,50.0%,-0.190,小样本观察
按赛事,德乙,2,0,0,0,1,1,0.0%,-1.500,1,1,0,0,0,100.0%,+1.520,小样本观察
按赛事,意甲,2,0,1,0,1,0,50.0%,-0.050,0,1,0,1,0,50.0%,-0.080,小样本观察
按赛事,挪超,2,0,0,0,0,2,0.0%,-2.000,2,0,0,0,0,100.0%,+1.780,小样本观察
按赛事,捷甲,2,1,0,0,1,0,66.7%,+0.320,0,1,0,0,1,33.3%,-0.600,小样本观察
按赛事,日职乙,2,2,0,0,0,0,100.0%,+1.940,0,0,0,0,2,0.0%,-2.000,小样本观察
按赛事,法乙,2,0,0,0,0,2,0.0%,-2.000,2,0,0,0,0,100.0%,+1.800,小样本观察
按赛事,玻利甲,2,1,0,0,0,1,50.0%,-0.230,1,0,0,0,1,50.0%,-0.220,小样本观察
按赛事,瑞士超,2,1,0,0,0,1,50.0%,-0.040,1,0,0,0,1,50.0%,-0.040,小样本观察
按赛事,科威特联,2,1,0,0,0,1,50.0%,-0.080,1,0,0,0,1,50.0%,-0.180,小样本观察
按赛事,美冠联,2,1,0,0,0,1,50.0%,+0.000,1,0,0,0,1,50.0%,-0.090,小样本观察
按赛事,阿乙,2,1,0,1,0,0,100.0%,+0.980,0,0,1,0,1,0.0%,-1.000,小样本观察
按赛事,阿甲,2,2,0,0,0,0,100.0%,+1.830,0,0,0,0,2,0.0%,-2.000,小样本观察
按赛事,韩K3联,2,1,1,0,0,0,100.0%,+1.505,0,0,0,1,1,0.0%,-1.500,小样本观察
按赛事,韩K联,2,0,1,0,0,1,33.3%,-0.475,1,0,0,1,0,66.7%,+0.290,小样本观察
按赛事,丹麦超,1,1,0,0,0,0,100.0%,+1.050,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,乌兹超,1,0,0,1,0,0,NA,+0.000,0,0,1,0,0,NA,+0.000,小样本观察
按赛事,乌拉乙,1,1,0,0,0,0,100.0%,+0.860,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,俄甲,1,1,0,0,0,0,100.0%,+1.040,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,俄超,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.910,小样本观察
按赛事,南非超,1,0,0,0,1,0,0.0%,-0.500,0,1,0,0,0,100.0%,+0.370,小样本观察
按赛事,厄瓜甲,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.850,小样本观察
按赛事,土超,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.990,小样本观察
按赛事,巴西甲,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.820,小样本观察
按赛事,意乙,1,1,0,0,0,0,100.0%,+0.860,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,拉脱超,1,0,1,0,0,0,100.0%,+0.495,0,0,0,1,0,0.0%,-0.500,小样本观察
按赛事,捷丙,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.790,小样本观察
按赛事,捷乙,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.760,小样本观察
按赛事,法甲,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.950,小样本观察
按赛事,澳昆超,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.830,小样本观察
按赛事,澳维超,1,1,0,0,0,0,100.0%,+0.920,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,瑞典超,1,1,0,0,0,0,100.0%,+0.860,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,芬兰杯,1,1,0,0,0,0,100.0%,+0.920,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,荷甲,1,1,0,0,0,0,100.0%,+0.980,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,阿联酋超,1,0,0,1,0,0,NA,+0.000,0,0,1,0,0,NA,+0.000,小样本观察
按盘口档位+标签,平手/半球/诱上/阻下,16,4,5,0,0,7,48.1%,-0.400,7,0,0,5,4,51.9%,-0.770,正向较好但未过阈值
按盘口档位+标签,半球/诱上/阻下,11,6,0,0,0,5,54.5%,+1.010,5,0,0,0,6,45.5%,-1.960,正向优先
按盘口档位+标签,平手/诱上/阻下,11,3,0,6,0,2,60.0%,+1.160,2,0,6,0,3,40.0%,-1.450,正向优先
按盘口档位+标签,平手/降温保护/诱下,11,7,0,3,0,1,87.5%,+5.170,1,0,3,0,7,12.5%,-6.150,正向优先
