统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,韩国,未知分类,一球/球半,0.91-1.00,真实示强/阻上,1,0,1,0,0,0,1.0,0.0,0.5,1.0,0.5,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,乌兹别克斯坦,未知分类,一球,1.01-1.10,阻上/诱下,1,0,0,1,0,0,,,0.0,1.02,0.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,乌兹别克斯坦,未知分类,半球,1.01-1.10,阻上/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,1.02,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,科威特,未知分类,半球,1.01-1.10,阻上/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,1.06,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,沙特,未知分类,平手,0.81-0.90,降温保护/诱下,1,0,0,1,0,0,,,0.0,0.9,0.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,沙特,未知分类,半球/一球,0.71-0.80,降温保护/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,0.76,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,南非,未知分类,半球,0.81-0.90,诱上/阻下,1,0,0,0,0,1,0.0,1.0,-1.0,0.81,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,阿根廷,未知分类,平手/半球,0.91-1.00,真实示强/阻上,2,1,0,0,1,0,0.6667,0.3333,0.45,0.965,0.225,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,阿根廷,未知分类,平手/半球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0,0.0,0.84,0.84,0.84,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,阿根廷,未知分类,平手,0.81-0.90,诱上/阻下,5,2,0,2,0,1,0.6667,0.3333,0.68,0.83,0.136,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,阿根廷,未知分类,一球/球半,0.91-1.00,诱下/上盘降温,1,1,0,0,0,0,1.0,0.0,0.95,0.95,0.95,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,英格兰,杯赛,一球/球半,1.01-1.10,阻上/诱下,1,1,0,0,0,0,1.0,0.0,1.04,1.04,1.04,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,英格兰,杯赛,平手,0.91-1.00,真实示弱/阻下,1,0,0,1,0,0,,,0.0,0.96,0.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,英格兰,杯赛,平手/半球,0.81-0.90,真实示弱/阻下,1,1,0,0,0,0,1.0,0.0,0.86,0.86,0.86,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,未识别,未知分类,平手,0.81-0.90,诱上/阻下,1,0,0,1,0,0,,,0.0,0.83,0.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,阿根廷,未知分类,半球,0.91-1.00,真实示强/阻上,1,1,0,0,0,0,1.0,0.0,0.93,0.93,0.93,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,未识别,洲际杯赛,一球/球半,>1.10,阻上/诱下,2,2,0,0,0,0,1.0,0.0,2.22,1.11,1.11,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,中国,杯赛,平手,0.81-0.90,降温保护/诱下,2,0,0,0,0,2,0.0,1.0,-2.0,0.82,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,杯赛,两球,1.01-1.10,诱上/阻下,1,1,0,0,0,0,1.0,0.0,1.02,1.02,1.02,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,杯赛,平手,0.91-1.00,诱上/阻下,1,0,0,0,0,1,0.0,1.0,-1.0,0.99,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,杯赛,平手,1.01-1.10,诱上/阻下,1,0,0,1,0,0,,,0.0,1.02,0.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,乌兹别克斯坦,未知分类,球半/两球,0.91-1.00,真实示强/阻上,1,0,1,0,0,0,1.0,0.0,0.495,0.99,0.495,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
