match_id,match,list_date,decision_at,rule_version,action,selected_team,selected_side,direction,line,water,probability,threshold,risk,reason,top5_status,frozen,source_card,competition,kickoff,home_team,away_team
3062058,安集延 vs 奥林匹克莫比兹,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,乌兹杯,2026-9-15 03:00 北京时间（东8区）,安集延,奥林匹克莫比兹
3062059,本尤德科 vs 塔什干火车头,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,乌兹杯,2026-9-15 03:00 北京时间（东8区）,本尤德科,塔什干火车头
3003884,利兹联 vs 纽卡斯尔联,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,平手/半球,0.99,0.512,0.5225125628140703,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,英超,2026-9-15 03:00 北京时间（东8区）,利兹联,纽卡斯尔联
3013691,比利亚雷亚尔 vs 皇家贝蒂斯,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,西甲,2026-9-15 03:00 北京时间（东8区）,比利亚雷亚尔,皇家贝蒂斯
3023482,摩里伦斯 vs 马里迪莫,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,平手,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,葡超,2026-9-15 03:15 北京时间（东8区）,摩里伦斯,马里迪莫
3023479,布拉加 vs 埃斯托里尔,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,布拉加（反向=上盘）,upper,反向,一球/球半,0.86,0.545,0.5576344086021506,状态A-正常态,综合胜率54.5%低于水位阈值55.8%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,葡超,2026-9-15 03:45 北京时间（东8区）,布拉加,埃斯托里尔
3012189,锡帕基拉老虎 vs 波哥塔,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,哥伦乙秋,2026-9-15 04:30 北京时间（东8区）,锡帕基拉老虎,波哥塔
2926322,圣塔克鲁兹 vs 雷科莱塔体育,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,智利乙,2026-9-15 05:00 北京时间（东8区）,圣塔克鲁兹,雷科莱塔体育
2926326,圣菲利浦联 vs 科比亚波,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,智利乙,2026-9-15 05:00 北京时间（东8区）,圣菲利浦联,科比亚波
2962628,利斯特雷 vs 拉努斯,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,拉努斯（反向=上盘）,upper,反向,平手,0.75,0.579,0.5914285714285714,状态C-熔断/静默观望,风控熔断/静默：状态C-熔断/静默观望,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,阿甲,2026-9-15 06:00 北京时间（东8区）,利斯特雷,拉努斯
